step,total loss,train loss,test loss,cc,train acc,test acc,reg
7999,0.13307628,0.018587504,0.019693624,11.448877,1.0,0.995,11.448877
8099,0.13298391,0.01845611,0.01956671,11.45278,1.0,0.995,11.45278
8199,0.13289198,0.018354384,0.019452374,11.45376,1.0,1.0,11.45376
8299,0.13279925,0.018280977,0.019364525,11.451827,1.0,0.995,11.451827
8399,0.13272925,0.018202027,0.019273318,11.452723,1.0,1.0,11.452723
8499,0.13265592,0.01813628,0.019195061,11.451963,1.0,1.0,11.451963
8599,0.13259491,0.01807898,0.019132277,11.451593,1.0,1.0,11.451593
8699,0.13254175,0.01802838,0.019067947,11.451336,1.0,1.0,11.451336
8799,0.13248336,0.018000733,0.019030506,11.448263,1.0,1.0,11.448263
8899,0.13241172,0.017969737,0.019009471,11.444198,1.0,1.0,11.444198
8999,0.1323687,0.017928425,0.018943954,11.444027,1.0,1.0,11.444027
9099,0.13231042,0.017906781,0.018921029,11.440365,1.0,1.0,11.440365
9199,0.1322509,0.017883811,0.0188964,11.43671,1.0,1.0,11.43671
9299,0.13221489,0.0178623,0.018852938,11.435259,1.0,1.0,11.435259
9399,0.132169,0.017838078,0.018820433,11.433091,1.0,1.0,11.433091
9499,0.13214321,0.01782242,0.018797902,11.43208,1.0,1.0,11.43208
9599,0.13208085,0.01780714,0.018763758,11.427372,1.0,1.0,11.427372
9699,0.1320597,0.017794497,0.01875924,11.426519,1.0,1.0,11.426519
9799,0.13203527,0.017786197,0.018744847,11.424908,1.0,1.0,11.424908
9899,0.13199793,0.017773014,0.018708184,11.422491,1.0,1.0,11.422491
9999,0.13197422,0.017758194,0.018686645,11.421603,1.0,1.0,11.421603
