step,total loss,train loss,test loss,train acc,test acc,reg
7999,0.1437842,0.017025195,0.0141800735,1.0,1.0,12.6758995
8099,0.14379027,0.017034695,0.014168897,1.0,1.0,12.675559
8199,0.14379476,0.017068114,0.0141849825,1.0,1.0,12.672665
8299,0.14384818,0.017119411,0.014219692,1.0,1.0,12.672878
8399,0.14370261,0.01726268,0.014272433,1.0,1.0,12.643993
8499,0.14297518,0.017325582,0.014157251,1.0,1.0,12.5649605
8599,0.14135633,0.017249871,0.013987749,1.0,1.0,12.410646
8699,0.13896549,0.017356578,0.014151901,1.0,1.0,12.160891
8799,0.13793334,0.017280381,0.014087027,1.0,1.0,12.065296
8899,0.1371987,0.017266834,0.014134329,1.0,1.0,11.993187
8999,0.1369725,0.017252995,0.014137046,1.0,1.0,11.971951
9099,0.13692236,0.017225135,0.014132846,1.0,1.0,11.969723
9199,0.13692272,0.017221656,0.0141509585,1.0,1.0,11.970107
9299,0.13690384,0.017202705,0.014129007,1.0,1.0,11.970114
9399,0.13688308,0.017211007,0.014128582,1.0,1.0,11.967207
9499,0.13685793,0.01721311,0.014137591,1.0,1.0,11.964482
9599,0.13690579,0.017194666,0.014130875,1.0,1.0,11.971112
9699,0.13690111,0.017213179,0.014127041,1.0,1.0,11.968794
9799,0.13683727,0.017200705,0.014142785,1.0,1.0,11.963657
9899,0.13697167,0.017189087,0.014117366,1.0,1.0,11.978258
9999,0.13690436,0.01721077,0.014129219,1.0,1.0,11.969359
