Epoch,BCE,KLD
0,1.8829177618026733,0.0
0,1.8554329872131348,0.0
0,1.805958867073059,0.0
0,1.9557881355285645,0.0
0,1.8456251621246338,0.0
0,2.1543772220611572,0.0
0,2.0276694297790527,0.0
0,1.9625312089920044,0.0
0,1.9511908292770386,0.0
0,1.869831919670105,0.0
0,2.1446785926818848,0.0
0,1.8676643371582031,0.0
0,2.1969337463378906,0.0
0,1.6521345376968384,0.0
0,1.9577715396881104,0.0
0,1.9942877292633057,0.0
0,2.1024863719940186,0.0
0,2.0244781970977783,0.0
0,1.9630717039108276,0.0
0,1.638567328453064,0.0
0,1.6249008178710938,0.0
0,1.8928369283676147,0.0
0,1.8782830238342285,0.0
0,1.7496051788330078,0.0
0,2.196608543395996,0.0
0,1.8443723917007446,0.0
0,1.9497829675674438,0.0
0,1.824867606163025,0.0
0,2.149228096008301,0.0
0,1.667812705039978,0.0
0,1.6301319599151611,0.0
0,1.7486183643341064,0.0
0,1.7468912601470947,0.0
0,1.847946047782898,0.0
0,1.7804224491119385,0.0
0,1.8706111907958984,0.0
0,1.8731050491333008,0.0
0,1.9363784790039062,0.0
0,2.114804983139038,0.0
0,1.9386165142059326,0.0
0,2.056492805480957,0.0
0,1.8385578393936157,0.0
0,1.9806357622146606,0.0
0,1.9267597198486328,0.0
0,1.8256447315216064,0.0
0,1.8370933532714844,0.0
0,1.904754877090454,0.0
0,1.9590790271759033,0.0
0,2.036724328994751,0.0
0,1.9123140573501587,0.0
0,1.5936952829360962,0.0
0,1.9632012844085693,0.0
0,1.7766822576522827,0.0
0,1.720771074295044,0.0
0,1.7933911085128784,0.0
0,1.9134942293167114,0.0
0,1.8605875968933105,0.0
0,1.8760265111923218,0.0
0,1.9958604574203491,0.0
0,1.838898777961731,0.0
0,2.001690149307251,0.0
0,1.8299795389175415,0.0
0,2.0288960933685303,0.0
0,1.6253082752227783,0.0
0,1.894618272781372,0.0
0,1.8420519828796387,0.0
0,1.6049540042877197,0.0
0,1.7793115377426147,0.0
0,1.9562402963638306,0.0
0,2.175675630569458,0.0
0,1.8810315132141113,0.0
0,2.057486057281494,0.0
0,1.58072829246521,0.0
0,1.6868200302124023,0.0
0,1.7797563076019287,0.0
0,1.849496841430664,0.0
0,1.8733975887298584,0.0
0,1.7388217449188232,0.0
0,1.375223994255066,0.0
1,1.76847243309021,0.002576781902462244
1,1.814028263092041,0.0023994853254407644
1,1.8627680540084839,0.002661091275513172
1,1.7310023307800293,0.0027146092616021633
1,1.5843727588653564,0.0023520176764577627
1,2.2835910320281982,0.0029851046856492758
1,1.7106174230575562,0.0025050886906683445
1,1.7066550254821777,0.002751181600615382
1,2.0651559829711914,0.003008789150044322
1,1.8729288578033447,0.0027597500011324883
1,1.6055665016174316,0.002593348501250148
1,1.8204684257507324,0.002997513860464096
1,1.7305419445037842,0.0028425578493624926
1,1.9206359386444092,0.0029456240590661764
1,1.666060447692871,0.00284367217682302
1,1.7762730121612549,0.002947290660813451
1,1.8675884008407593,0.003135548671707511
1,1.8365681171417236,0.003040227573364973
1,1.6544373035430908,0.0028580683283507824
1,1.707202672958374,0.002926160115748644
1,1.4913549423217773,0.0027270957361906767
1,1.9019789695739746,0.0028306462336331606
1,2.0939278602600098,0.0035336706787347794
1,1.5319926738739014,0.0030102934688329697
